meet_id,meet_name,day_temperature,date_of_race,total_finishers,total_races,race_level,mean_temp
vhsl3a17,VHSL 3A State XC Championships, ,Saturday November 11 2017,192, ,HS,29
vhsl4a13,VHSL 4A State Cross Country Championship, ,Friday November 15 2013,207, ,HS,42
vhsl5a13,VHSL 5A State Cross Country Championship, ,Friday November 15 2013,206, ,HS,42
vhsl6a13,VHSL 6A State Cross Country Championship, ,Friday November 15 2013,211, ,HS,42
vhsl1a13,VHSL 1A State Cross Country Championship, ,Saturday November 16 2013,201, ,HS,46
vhsl2a13,VHSL 2A State Cross Country Championship, ,Saturday November 16 2013,202, ,HS,46
vhsl3a13,VHSL 3A State Cross Country Championship, ,Saturday November 16 2013,206, ,HS,46
vhsl1a14,VHSL 1A State Cross Country Championship, ,Friday November 14 2014,197, ,HS,32
vhsl2a14,VHSL 2A State Cross Country Championship, ,Friday November 14 2014,205, ,HS,32
vhsl3a14,VHSL 3A State Cross Country Championship, ,Friday November 14 2014,206, ,HS,32
vhsl4a14,VHSL 4A State Cross Country Championship, ,Saturday November 15 2014,206, ,HS,32
vhsl5a14,VHSL 5A State Cross Country Championship, ,Saturday November 15 2014,208, ,HS,32
vhsl6a14,VHSL 6A State Cross Country Championship, ,Saturday November 15 2014,206, ,HS,32
vhsl4a15,VHSL 4A State Cross Country Championship, ,Friday November 13 2015,205, ,HS,53
vhsl5a15,VHSL 5A State Cross Country Championship, ,Friday November 13 2015,207, ,HS,53
vhsl6a15,VHSL 6A State Cross Country Championship, ,Friday November 13 2015,208, ,HS,53
vhsl3a15,VHSL 3A State Cross Country Championship, ,Saturday November 14 2015,206, ,HS,42
vhsl2a15,VHSL 2A State Cross Country Championship, ,Saturday November 14 2015,204, ,HS,42
vhsl1a15,VHSL 1A State Cross Country Championship, ,Saturday November 14 2015,203, ,HS,42
vhsl1a16,VHSL 1A State XC Championships, ,Friday November 11 2016,204, ,HS,47
vhsl2a16,VHSL 2A State XC Championships, ,Friday November 11 2016,204, ,HS,47
vhsl3a16,VHSL 3A State XC Championships, ,Friday November 11 2016,207, ,HS,47
vhsl6a16,VHSL 6A State XC Championships, ,Saturday November 12 2016,207, ,HS,38
vhsl5a16,VHSL 5A State XC Championships, ,Saturday November 12 2016,208, ,HS,38
vhsl4a16,VHSL 4A State XC Championships, ,Saturday November 12 2016,207, ,HS,38
vhsl4a17,VHSL 4A State XC Championships, ,Friday November 10 2017,215, ,HS,36
vhsl5a17,VHSL 5A State XC Championships, ,Friday November 10 2017,209, ,HS,36
vhsl6a17,VHSL 6A State XC Championships, ,Friday November 10 2017,207, ,HS,36
vhsl2a17,VHSL 2A State XC Championships, ,Saturday November 11 2017,205, ,HS,29
vhsl1a17,VHSL 1A State XC Championships, ,Saturday November 11 2017,198, ,HS,29
